TrialNumber,Participant,ConFBLSMCLS,ConRew,Bias,TrialType,Reward,LongShort,FBMem,Gender,Age,AQ,PI20,FB (1) vs MC(2),Short (1) vs Long (2)
13,12,4,1,-0.026,MCL,NEG,Long,Mem,2,21,13,40,2,2
14,12,2,1,-0.073,FBL,NEG,Long,FB,2,21,13,40,1,2
15,12,3,1,-0.074,MCS,NEG,Short,Mem,2,21,13,40,2,1
16,12,1,2,-0.053,FBS,POS,Short,FB,2,21,13,40,1,1
1,13,1,1,0.012,FBS,POS,Short,FB,2,20,12,26,1,1
2,13,2,2,0.142,FBL,NEG,Long,FB,2,20,12,26,1,2
3,13,3,1,0.19,MCS,POS,Short,Mem,2,20,12,26,2,1
4,13,4,2,0.053,MCL,NEG,Long,Mem,2,20,12,26,2,2
5,13,1,1,0,FBS,POS,Short,FB,2,20,12,26,1,1
6,13,3,2,-0.021,MCS,NEG,Short,Mem,2,20,12,26,2,1
7,13,4,1,-0.175,MCL,POS,Long,Mem,2,20,12,26,2,2
8,13,2,1,-0.073,FBL,POS,Long,FB,2,20,12,26,1,2
9,13,1,2,-0.153,FBS,NEG,Short,FB,2,20,12,26,1,1
10,13,3,2,0.008,MCS,NEG,Short,Mem,2,20,12,26,2,1
11,13,2,2,-0.045,FBL,NEG,Long,FB,2,20,12,26,1,2
12,13,4,2,0.002,MCL,NEG,Long,Mem,2,20,12,26,2,2
13,13,4,1,0.006,MCL,POS,Long,Mem,2,20,12,26,2,2
14,13,2,1,0.009,FBL,POS,Long,FB,2,20,12,26,1,2
15,13,3,1,-0.039,MCS,POS,Short,Mem,2,20,12,26,2,1
16,13,1,2,0.042,FBS,NEG,Short,FB,2,20,12,26,1,1
1,14,1,1,0.015,FBS,POS,Short,FB,1,24,17,37,1,1
2,14,2,2,0.006,FBL,NEG,Long,FB,1,24,17,37,1,2
3,14,3,1,0.084,MCS,POS,Short,Mem,1,24,17,37,2,1
4,14,4,2,0.031,MCL,NEG,Long,Mem,1,24,17,37,2,2
5,14,1,1,0,FBS,POS,Short,FB,1,24,17,37,1,1
6,14,3,2,-0.023,MCS,NEG,Short,Mem,1,24,17,37,2,1
7,14,4,1,-0.015,MCL,POS,Long,Mem,1,24,17,37,2,2
8,14,2,1,0.502,FBL,POS,Long,FB,1,24,17,37,1,2
9,14,1,2,-0.066,FBS,NEG,Short,FB,1,24,17,37,1,1
10,14,3,2,-0.016,MCS,NEG,Short,Mem,1,24,17,37,2,1
11,14,2,2,0.006,FBL,NEG,Long,FB,1,24,17,37,1,2
12,14,4,2,-0.097,MCL,NEG,Long,Mem,1,24,17,37,2,2
13,14,4,1,-0.006,MCL,POS,Long,Mem,1,24,17,37,2,2
14,14,2,1,0.031,FBL,POS,Long,FB,1,24,17,37,1,2
15,14,3,1,-0.058,MCS,POS,Short,Mem,1,24,17,37,2,1
16,14,1,2,-0.022,FBS,NEG,Short,FB,1,24,17,37,1,1
1,15,1,1,0.026,FBS,NEG,Short,FB,1,21,10,35,1,1
2,15,2,2,0.073,FBL,POS,Long,FB,1,21,10,35,1,2
3,15,3,1,-0.06,MCS,NEG,Short,Mem,1,21,10,35,2,1
4,15,4,2,-0.016,MCL,POS,Long,Mem,1,21,10,35,2,2
5,15,1,1,-0.021,FBS,NEG,Short,FB,1,21,10,35,1,1
6,15,3,2,0.237,MCS,POS,Short,Mem,1,21,10,35,2,1
7,15,4,1,-0.11,MCL,NEG,Long,Mem,1,21,10,35,2,2
8,15,2,1,-0.166,FBL,NEG,Long,FB,1,21,10,35,1,2
9,15,1,2,-0.03,FBS,POS,Short,FB,1,21,10,35,1,1
10,15,3,2,0.025,MCS,POS,Short,Mem,1,21,10,35,2,1
11,15,2,2,0.146,FBL,POS,Long,FB,1,21,10,35,1,2
12,15,4,2,0.003,MCL,POS,Long,Mem,1,21,10,35,2,2
13,15,4,1,0.102,MCL,NEG,Long,Mem,1,21,10,35,2,2
14,15,2,1,-0.002,FBL,NEG,Long,FB,1,21,10,35,1,2
15,15,3,1,-0.023,MCS,NEG,Short,Mem,1,21,10,35,2,1
16,15,1,2,-0.074,FBS,POS,Short,FB,1,21,10,35,1,1
1,16,1,1,0.023,FBS,NEG,Short,FB,1,20,18,32,1,1
2,16,2,2,0.173,FBL,POS,Long,FB,1,20,18,32,1,2
3,16,3,1,0.056,MCS,NEG,Short,Mem,1,20,18,32,2,1
4,16,4,2,-0.006,MCL,POS,Long,Mem,1,20,18,32,2,2
5,16,1,1,-0.015,FBS,NEG,Short,FB,1,20,18,32,1,1
6,16,3,2,0.027,MCS,POS,Short,Mem,1,20,18,32,2,1
7,16,4,1,-0.105,MCL,NEG,Long,Mem,1,20,18,32,2,2
8,16,2,1,-0.016,FBL,NEG,Long,FB,1,20,18,32,1,2
9,16,1,2,-0.047,FBS,POS,Short,FB,1,20,18,32,1,1
10,16,3,2,0.035,MCS,POS,Short,Mem,1,20,18,32,2,1
11,16,2,2,-0.046,FBL,POS,Long,FB,1,20,18,32,1,2
12,16,4,2,-0.049,MCL,POS,Long,Mem,1,20,18,32,2,2
13,16,4,1,0.125,MCL,NEG,Long,Mem,1,20,18,32,2,2
14,16,2,1,0.029,FBL,NEG,Long,FB,1,20,18,32,1,2
15,16,3,1,-0.011,MCS,NEG,Short,Mem,1,20,18,32,2,1
16,16,1,2,-0.012,FBS,POS,Short,FB,1,20,18,32,1,1
1,17,1,1,0.025,FBS,POS,Short,FB,2,27,11,33,1,1
2,17,2,2,-0.123,FBL,NEG,Long,FB,2,27,11,33,1,2
3,17,3,1,0.31,MCS,POS,Short,Mem,2,27,11,33,2,1
4,17,4,2,-0.027,MCL,NEG,Long,Mem,2,27,11,33,2,2
5,17,1,1,0.008,FBS,POS,Short,FB,2,27,11,33,1,1
6,17,3,2,-0.017,MCS,NEG,Short,Mem,2,27,11,33,2,1
7,17,4,1,-0.172,MCL,POS,Long,Mem,2,27,11,33,2,2
8,17,2,1,-0.088,FBL,POS,Long,FB,2,27,11,33,1,2
9,17,1,2,0.013,FBS,NEG,Short,FB,2,27,11,33,1,1
10,17,3,2,0.054,MCS,NEG,Short,Mem,2,27,11,33,2,1
11,17,2,2,0.685,FBL,NEG,Long,FB,2,27,11,33,1,2
12,17,4,2,-0.043,MCL,NEG,Long,Mem,2,27,11,33,2,2
13,17,4,1,-0.101,MCL,POS,Long,Mem,2,27,11,33,2,2
14,17,2,1,0.303,FBL,POS,Long,FB,2,27,11,33,1,2
15,17,3,1,-0.08,MCS,POS,Short,Mem,2,27,11,33,2,1
16,17,1,2,0.032,FBS,NEG,Short,FB,2,27,11,33,1,1
1,18,1,1,0.243,FBS,POS,Short,FB,1,23,23,32,1,1
2,18,2,2,-0.024,FBL,NEG,Long,FB,1,23,23,32,1,2
3,18,3,1,0.044,MCS,POS,Short,Mem,1,23,23,32,2,1
4,18,4,2,0.019,MCL,NEG,Long,Mem,1,23,23,32,2,2
