TrialNumber,Participant,ConFBLSMCLS,ConRew,Bias,TrialType,Reward,LongShort,FBMem,Gender,Age,AQ,PI20,FB (1) vs MC(2),Short (1) vs Long (2)
4,14,4,2,0.03,MCL,Neg,Long,Mem,1,24,17,37,2,2
5,14,1,1,0,FBS,Pos,Short,FB,1,24,17,37,1,1
6,14,3,2,-0.02,MCS,Neg,Short,Mem,1,24,17,37,2,1
7,14,4,1,-0.02,MCL,Pos,Long,Mem,1,24,17,37,2,2
8,14,2,1,0.5,FBL,Pos,Long,FB,1,24,17,37,1,2
9,14,1,2,-0.07,FBS,Neg,Short,FB,1,24,17,37,1,1
10,14,3,2,-0.02,MCS,Neg,Short,Mem,1,24,17,37,2,1
11,14,2,2,0.01,FBL,Neg,Long,FB,1,24,17,37,1,2
12,14,4,2,-0.1,MCL,Neg,Long,Mem,1,24,17,37,2,2
13,14,4,1,-0.01,MCL,Pos,Long,Mem,1,24,17,37,2,2
14,14,2,1,0.03,FBL,Pos,Long,FB,1,24,17,37,1,2
15,14,3,1,-0.06,MCS,Pos,Short,Mem,1,24,17,37,2,1
16,14,1,2,-0.02,FBS,Neg,Short,FB,1,24,17,37,1,1
1,15,1,1,0.03,FBS,Pos,Short,FB,1,21,10,35,1,1
2,15,2,2,0.07,FBL,Neg,Long,FB,1,21,10,35,1,2
3,15,3,1,-0.06,MCS,Pos,Short,Mem,1,21,10,35,2,1
4,15,4,2,-0.02,MCL,Neg,Long,Mem,1,21,10,35,2,2
5,15,1,1,-0.02,FBS,Pos,Short,FB,1,21,10,35,1,1
6,15,3,2,0.24,MCS,Neg,Short,Mem,1,21,10,35,2,1
7,15,4,1,-0.11,MCL,Pos,Long,Mem,1,21,10,35,2,2
8,15,2,1,-0.17,FBL,Pos,Long,FB,1,21,10,35,1,2
9,15,1,2,-0.03,FBS,Neg,Short,FB,1,21,10,35,1,1
10,15,3,2,0.03,MCS,Neg,Short,Mem,1,21,10,35,2,1
11,15,2,2,0.15,FBL,Neg,Long,FB,1,21,10,35,1,2
12,15,4,2,0,MCL,Neg,Long,Mem,1,21,10,35,2,2
13,15,4,1,0.1,MCL,Pos,Long,Mem,1,21,10,35,2,2
14,15,2,1,0,FBL,Pos,Long,FB,1,21,10,35,1,2
15,15,3,1,-0.02,MCS,Pos,Short,Mem,1,21,10,35,2,1
16,15,1,2,-0.07,FBS,Neg,Short,FB,1,21,10,35,1,1
1,16,1,1,0.02,FBS,Pos,Short,FB,1,20,18,32,1,1
2,16,2,2,0.17,FBL,Neg,Long,FB,1,20,18,32,1,2
3,16,3,1,0.06,MCS,Pos,Short,Mem,1,20,18,32,2,1
4,16,4,2,-0.01,MCL,Neg,Long,Mem,1,20,18,32,2,2
5,16,1,1,-0.02,FBS,Pos,Short,FB,1,20,18,32,1,1
6,16,3,2,0.03,MCS,Neg,Short,Mem,1,20,18,32,2,1
7,16,4,1,-0.11,MCL,Pos,Long,Mem,1,20,18,32,2,2
8,16,2,1,-0.02,FBL,Pos,Long,FB,1,20,18,32,1,2
9,16,1,2,-0.05,FBS,Neg,Short,FB,1,20,18,32,1,1
